id;test_question;expected_faq_id;expected_faq_question;paraphrase_type;notes
1;Saya mau jadi anggota perpustakaan, prosedurnya gimana?;FAQ_01;Bagaimana cara mendaftar sebagai anggota perpustakaan?;parafrase (informal);variasi tutur kata
2;Apa syarat pendaftaran anggota perpustakaan UNP?;FAQ_01;Bagaimana cara mendaftar sebagai anggota perpustakaan?;formal / syarat;menanyakan syarat khusus
3;Jam buka perpustakaan hari kerja?;FAQ_02;Jam operasional / jam buka perpustakaan;singkat;missing kata 'apa'
4;Perpustakaannya buka sampai jam berapa?;FAQ_02;Jam operasional / jam buka perpustakaan;parafrase;variasi bahasa
5;Berapa lama masa pinjam buku?;FAQ_03;Lama peminjaman buku / periode peminjaman;parafrase;
6;Batas waktu peminjaman buku itu berapa hari?;FAQ_03;Lama peminjaman buku / periode peminjaman;parafrase (detail);
7;Berapa maksimal buku yang boleh dipinjam?;FAQ_04;Batas jumlah buku yang dapat dipinjam;parafrase;
8;Kalau telat balikin buku kenapa ya? Ada denda?;FAQ_05;Ketentuan denda keterlambatan pengembalian buku;multi-intent;mengandung dua sub-pertanyaan
9;Berapa denda kalau terlambat 1 minggu?;FAQ_05;Ketentuan denda keterlambatan pengembalian buku;spesifik kuantitas;butuh angka
10;Gimana cara perpanjang peminjaman online?;FAQ_06;Cara perpanjangan peminjaman (online / offline);parafrase (digital);terkait layanan online
11;Saya mau perpanjang pinjaman, bagaimana?;FAQ_06;Cara perpanjangan peminjaman (online / offline);informal;
12;Buku hilang, apa prosedurnya?;FAQ_07;Prosedur jika buku hilang atau rusak;parafrase;
13;Kalau buku rusak siapa yang tanggung jawab?;FAQ_07;Prosedur jika buku hilang atau rusak;parafrase;variant
14;Gimana cara akses jurnal elektronik dari rumah?;FAQ_08;Akses e-resources / jurnal elektronik (remote);parafrase (remote);mencakup VPN/remote access
15;Bagaimana cara pakai OPAC untuk cari buku?;FAQ_09;Cara menggunakan OPAC (pencarian katalog);parafrase (tool);mencantumkan istilah OPAC
16;Di mana letak gedung perpustakaan kampus pusat?;FAQ_10;Lokasi / alamat perpustakaan;formal;
17;Kontak perpustakaan, nomor telepon atau email?;FAQ_11;Informasi kontak perpustakaan (telepon, email);direct request;
18;Ada layanan ruang diskusi yang bisa dipesan gak?;FAQ_12;Pemesanan ruang baca / ruang diskusi;parafrase (availability);
19;Cara booking ruang rapat perpustakaan?;FAQ_12;Pemesanan ruang baca / ruang diskusi;formal;
20;Bisa minta fotokopi atau print di perpustakaan?;FAQ_13;Layanan printing / fotokopi di perpustakaan;parafrase;
21;Layanan cetak ada berapa hari buka?;FAQ_13;Layanan printing / fotokopi di perpustakaan;follow-up specific;
22;Apa itu interlibrary loan dan gimana caranya?;FAQ_14;Layanan peminjaman antarperpustakaan (interlibrary loan);istilah teknis;
23;Saya mahasiswa baru, bagaimana orientasi perpustakaan?;FAQ_15;Program orientasi & pelatihan perpustakaan untuk mahasiswa baru;parafrase;
24;Ada layanan konsultasi sitasi / referensi gak?;FAQ_16;Layanan bantuan penulisan sitasi / referensi;parafrase;
25;Bagaimana cara mengembalikan buku di luar jam operasional?;FAQ_17;Drop-box / prosedur pengembalian di luar jam kerja;scenario-based;
26;Aku lupa password akun perpustakaan, gimana reset?;FAQ_18;Reset akun anggota / lupa password;informal;typo/colloquial 'gimana'
27;Apa persyaratan pinjam untuk dosen tamu?;FAQ_19;Ketentuan peminjaman untuk dosen / tamu / eksternal;specific user-type;
28;Ada batas waktu perpanjangan berapa kali?;FAQ_06;Cara perpanjangan peminjaman (online / offline);follow-up policy;
29;Bagaimana cara daftar?;FAQ_01;Bagaimana cara mendaftar sebagai anggota perpustakaan?;typo / ambiguous;menguji toleransi typo
30;Saya cari e-book tentang 'metode penelitian', ada link?;FAQ_08;Akses e-resources / jurnal elektronik (remote);query with topic;menuntut mapping topik ke koleksi digital
31;Bagaimana prosedur jadi anggota baru di perpustakaan?;FAQ_01;FAQ question placeholder;generated paraphrase;
32;Mau daftar membership perpustakaan, apa syaratnya?;FAQ_01;FAQ question placeholder;generated paraphrase;
33;Kalau mahasiswa luar UNP bisa daftar anggota gak?;FAQ_01;FAQ question placeholder;generated paraphrase;
34;Cara registrasi akun perpustakaan gimana ya?;FAQ_01;FAQ question placeholder;generated paraphrase;
35;Apakah bisa daftar anggota lewat online?;FAQ_01;FAQ question placeholder;generated paraphrase;
36;Jam operasional perpustakaan UNP kapan aja?;FAQ_02;FAQ question placeholder;generated paraphrase;
37;Hari Sabtu perpustakaan buka gak?;FAQ_02;FAQ question placeholder;generated paraphrase;
38;Kalau hari libur nasional, perpustakaan tetap buka?;FAQ_02;FAQ question placeholder;generated paraphrase;
39;Sampai jam berapa layanan perpustakaan tersedia?;FAQ_02;FAQ question placeholder;generated paraphrase;
40;Jam layanan sore tutup jam berapa?;FAQ_02;FAQ question placeholder;generated paraphrase;
41;Buku bisa dipinjam berapa lama ya?;FAQ_03;FAQ question placeholder;generated paraphrase;
42;Lama peminjaman maksimal itu berapa hari?;FAQ_03;FAQ question placeholder;generated paraphrase;
43;Masa peminjaman standar untuk mahasiswa berapa hari?;FAQ_03;FAQ question placeholder;generated paraphrase;
44;Apakah dosen punya masa pinjam lebih lama?;FAQ_03;FAQ question placeholder;generated paraphrase;
45;Berapa lama batas pinjam skripsi?;FAQ_03;FAQ question placeholder;generated paraphrase;
46;Boleh pinjam maksimal berapa buku sekaligus?;FAQ_04;FAQ question placeholder;generated paraphrase;
47;Ada batas jumlah koleksi yang bisa dipinjam gak?;FAQ_04;FAQ question placeholder;generated paraphrase;
48;Mahasiswa bisa pinjam lebih dari 5 buku kah?;FAQ_04;FAQ question placeholder;generated paraphrase;
49;Maksimal jumlah buku dipinjam oleh dosen berapa?;FAQ_04;FAQ question placeholder;generated paraphrase;
50;Berapa buku sekaligus bisa dipinjam untuk umum?;FAQ_04;FAQ question placeholder;generated paraphrase;
51;Kalau terlambat balikin buku, denda per hari berapa?;FAQ_05;FAQ question placeholder;generated paraphrase;
52;Apakah ada sanksi kalau telat kembalikan buku?;FAQ_05;FAQ question placeholder;generated paraphrase;
53;Denda telat pengembalian dihitung per hari atau per minggu?;FAQ_05;FAQ question placeholder;generated paraphrase;
54;Keterlambatan balikin buku kena penalti apa aja?;FAQ_05;FAQ question placeholder;generated paraphrase;
